# ----------------------------------------
# 1 Master View
# 잠재고객 개요
# 20180101-20180417
# ----------------------------------------

일 색인,기간,분류,사용자
18. 2. 5.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,313"
18. 2. 5.,2018. 1. 1 - 2018. 4. 17,재사용자,756
18. 2. 6.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,296"
18. 2. 6.,2018. 1. 1 - 2018. 4. 17,재사용자,722
18. 2. 7.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,256"
18. 2. 7.,2018. 1. 1 - 2018. 4. 17,재사용자,778
18. 2. 8.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,186"
18. 2. 8.,2018. 1. 1 - 2018. 4. 17,재사용자,767
18. 2. 9.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,236"
18. 2. 9.,2018. 1. 1 - 2018. 4. 17,재사용자,696
18. 2. 10.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,094"
18. 2. 10.,2018. 1. 1 - 2018. 4. 17,재사용자,386
18. 2. 11.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,266"
18. 2. 11.,2018. 1. 1 - 2018. 4. 17,재사용자,443
18. 2. 12.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,752"
18. 2. 12.,2018. 1. 1 - 2018. 4. 17,재사용자,813
18. 2. 13.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,715"
18. 2. 13.,2018. 1. 1 - 2018. 4. 17,재사용자,724
18. 2. 14.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,500"
18. 2. 14.,2018. 1. 1 - 2018. 4. 17,재사용자,724
18. 2. 15.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,368"
18. 2. 15.,2018. 1. 1 - 2018. 4. 17,재사용자,693
18. 2. 16.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,139"
18. 2. 16.,2018. 1. 1 - 2018. 4. 17,재사용자,579
18. 2. 17.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"1,944"
18. 2. 17.,2018. 1. 1 - 2018. 4. 17,재사용자,419
18. 2. 18.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,069"
18. 2. 18.,2018. 1. 1 - 2018. 4. 17,재사용자,514
18. 2. 19.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,285"
18. 2. 19.,2018. 1. 1 - 2018. 4. 17,재사용자,593
18. 2. 20.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,762"
18. 2. 20.,2018. 1. 1 - 2018. 4. 17,재사용자,784
18. 2. 21.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,558"
18. 2. 21.,2018. 1. 1 - 2018. 4. 17,재사용자,827
18. 2. 22.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,710"
18. 2. 22.,2018. 1. 1 - 2018. 4. 17,재사용자,850
18. 2. 23.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,364"
18. 2. 23.,2018. 1. 1 - 2018. 4. 17,재사용자,688
18. 2. 24.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"1,832"
18. 2. 24.,2018. 1. 1 - 2018. 4. 17,재사용자,408
18. 2. 25.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"1,977"
18. 2. 25.,2018. 1. 1 - 2018. 4. 17,재사용자,468
18. 2. 26.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"3,159"
18. 2. 26.,2018. 1. 1 - 2018. 4. 17,재사용자,854
18. 2. 27.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,634"
18. 2. 27.,2018. 1. 1 - 2018. 4. 17,재사용자,845
18. 2. 28.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,406"
18. 2. 28.,2018. 1. 1 - 2018. 4. 17,재사용자,756
18. 3. 1.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,395"
18. 3. 1.,2018. 1. 1 - 2018. 4. 17,재사용자,726
18. 3. 2.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,281"
18. 3. 2.,2018. 1. 1 - 2018. 4. 17,재사용자,636
18. 3. 3.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"1,898"
18. 3. 3.,2018. 1. 1 - 2018. 4. 17,재사용자,468
18. 3. 4.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"1,910"
18. 3. 4.,2018. 1. 1 - 2018. 4. 17,재사용자,483
18. 3. 5.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,449"
18. 3. 5.,2018. 1. 1 - 2018. 4. 17,재사용자,792
18. 3. 6.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,994"
18. 3. 6.,2018. 1. 1 - 2018. 4. 17,재사용자,800
18. 3. 7.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,433"
18. 3. 7.,2018. 1. 1 - 2018. 4. 17,재사용자,732
18. 3. 8.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,350"
18. 3. 8.,2018. 1. 1 - 2018. 4. 17,재사용자,718
18. 3. 9.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,181"
18. 3. 9.,2018. 1. 1 - 2018. 4. 17,재사용자,671
18. 3. 10.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"1,796"
18. 3. 10.,2018. 1. 1 - 2018. 4. 17,재사용자,467
18. 3. 11.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"1,734"
18. 3. 11.,2018. 1. 1 - 2018. 4. 17,재사용자,498
18. 3. 12.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,712"
18. 3. 12.,2018. 1. 1 - 2018. 4. 17,재사용자,880
18. 3. 13.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,573"
18. 3. 13.,2018. 1. 1 - 2018. 4. 17,재사용자,860
18. 3. 14.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,494"
18. 3. 14.,2018. 1. 1 - 2018. 4. 17,재사용자,880
18. 3. 15.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,706"
18. 3. 15.,2018. 1. 1 - 2018. 4. 17,재사용자,"1,119"
18. 3. 16.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,287"
18. 3. 16.,2018. 1. 1 - 2018. 4. 17,재사용자,883
18. 3. 17.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"1,788"
18. 3. 17.,2018. 1. 1 - 2018. 4. 17,재사용자,495
18. 3. 18.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"1,834"
18. 3. 18.,2018. 1. 1 - 2018. 4. 17,재사용자,521
18. 3. 19.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,737"
18. 3. 19.,2018. 1. 1 - 2018. 4. 17,재사용자,995
18. 3. 20.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,367"
18. 3. 20.,2018. 1. 1 - 2018. 4. 17,재사용자,958
18. 3. 21.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"3,395"
18. 3. 21.,2018. 1. 1 - 2018. 4. 17,재사용자,"1,168"
18. 3. 22.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,694"
18. 3. 22.,2018. 1. 1 - 2018. 4. 17,재사용자,"1,034"
18. 3. 23.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,328"
18. 3. 23.,2018. 1. 1 - 2018. 4. 17,재사용자,768
18. 3. 24.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"1,803"
18. 3. 24.,2018. 1. 1 - 2018. 4. 17,재사용자,513
18. 3. 25.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"1,726"
18. 3. 25.,2018. 1. 1 - 2018. 4. 17,재사용자,523
18. 3. 26.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,400"
18. 3. 26.,2018. 1. 1 - 2018. 4. 17,재사용자,989
18. 3. 27.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"3,177"
18. 3. 27.,2018. 1. 1 - 2018. 4. 17,재사용자,"1,268"
18. 3. 28.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,701"
18. 3. 28.,2018. 1. 1 - 2018. 4. 17,재사용자,"1,232"
18. 3. 29.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,597"
18. 3. 29.,2018. 1. 1 - 2018. 4. 17,재사용자,"1,049"
18. 3. 30.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,064"
18. 3. 30.,2018. 1. 1 - 2018. 4. 17,재사용자,817
18. 3. 31.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"1,524"
18. 3. 31.,2018. 1. 1 - 2018. 4. 17,재사용자,428
18. 4. 1.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"1,630"
18. 4. 1.,2018. 1. 1 - 2018. 4. 17,재사용자,571
18. 4. 2.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,377"
18. 4. 2.,2018. 1. 1 - 2018. 4. 17,재사용자,991
18. 4. 3.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,572"
18. 4. 3.,2018. 1. 1 - 2018. 4. 17,재사용자,937
18. 4. 4.,2018. 1. 1 - 2018. 4. 17,신규 사용자,"2,398"
18. 4. 4.,2018. 1. 1 - 2018. 4. 17,재사용자,994
