33, 'Ali', 2001, 'https://www.rottentomatoes.com/m/ali/', 'https://resizing.flixster.com/_FshCvQGbuDPOMg1ZSK1Cf3fZtk=/180x240/v1.bTsxMTI5MTM3NDtqOzE3OTY5OzIwNDg7MjM5NzszMTk2'
32, 'Bleed For This', 2016, 'https://www.rottentomatoes.com/m/bleed_for_this/', 'https://resizing.flixster.com/Fa5h3fKCaojbrj7oGQ3JoU9eCCk=/173x270/v1.bTsxMjI0NDY5MjtqOzE3OTI4OzIwNDg7MTkxNjsyOTg5'
31, 'Rocky II', 1979, 'https://www.rottentomatoes.com/m/rocky_ii/', 'https://resizing.flixster.com/mHWXOy3xgyHMjrAuXstiHpMRKPE=/180x240/v1.bTsxMTYxNDQzNDtqOzE3OTc4OzIwNDg7NzIzOzk2NA'
30, 'The Ring', 1927, 'https://www.rottentomatoes.com/m/1057839-ring/', 'https://resizing.flixster.com/_O2OWGA188sh8Wu8_bUqoKSiCpM=/180x259/v1.bTsxMTcwMTMxODtqOzE3ODc4OzIwNDg7Njk0OzEwMDA'
29, 'The Champ', 1931, 'https://www.rottentomatoes.com/m/1030142-champ/', 'https://resizing.flixster.com/57YZmSdGJHumVzvlT8ywMLScOfE=/180x240/v1.bTsxMTIxODE5MDtqOzE3OTU0OzIwNDg7MTUzNjsyMDQ4'
28, 'The Hammer', 2007, 'https://www.rottentomatoes.com/m/10009253-the_hammer/', 'https://resizing.flixster.com/DJGcG9aYbfMo0mzqrRjrfV8DZmI=/180x240/v1.bTsxMTIyNDA3OTtqOzE3OTkzOzIwNDg7MTUzNjsyMDQ4'
27, 'Rocky Balboa', 2006, 'https://www.rottentomatoes.com/m/rocky_balboa/', 'https://resizing.flixster.com/JwoMsAbjtyRr3SMZRp5T0KzCY-0=/180x240/v1.bTsxMTIxNTU5NDtqOzE3OTY4OzIwNDg7MTUzNjsyMDQ4'
26, 'Somebody Up There Likes Me', 1956, 'https://www.rottentomatoes.com/m/somebody_up_there_likes_me/', 'https://resizing.flixster.com/fWmigvo7I9txKjOKNhO0GzuTph4=/180x240/v1.bTsxMTI5Njg1MTtqOzE3OTU2OzIwNDg7MjI1MDszMDAw'
25, 'Chuck', 2017, 'https://www.rottentomatoes.com/m/chuck/', 'https://resizing.flixster.com/pbsXSisYSvC1i63muv9tyjzrKYM=/180x267/v1.bTsxMjM3NDg2NDtqOzE3OTYyOzIwNDg7MjAyNTszMDAw'
24, 'The Boxer', 1997, 'https://www.rottentomatoes.com/m/the_boxer/', 'https://resizing.flixster.com/qTYEKAFMgmloNK2xcm7xg7eiQpU=/180x240/v1.bTsxMTM3MjU5NjtqOzE3OTY3OzIwNDg7MTUzNjsyMDQ4'
23, "Killer's Kiss", 1955, 'https://www.rottentomatoes.com/m/killers_kiss/', 'https://resizing.flixster.com/8Il1K7y0MJT__v--6-DWTN1-aLk=/180x240/v1.bTsxMTIxMTEwMztqOzE3OTc3OzIwNDg7MTUzNjsyMDQ4'
22, 'The Set-Up', 1949, 'https://www.rottentomatoes.com/m/setup/', 'https://resizing.flixster.com/m2JUiCT77fbpag8MTi3_416c_lY=/180x240/v1.bTsxMTI5NjI2NztqOzE3OTU3OzIwNDg7MTUzNjsyMDQ4'
21, 'Cinderella Man', 2005, 'https://www.rottentomatoes.com/m/cinderella_man/', 'https://resizing.flixster.com/qxsnhkygn5lAdE9Y-Qfuq69RSiU=/180x270/v1.bTsxMTE3MzcyMDtqOzE3OTg5OzIwNDg7ODAwOzEyMDA'
20, 'The Hurricane', 1999, 'https://www.rottentomatoes.com/m/1093641-hurricane/', 'https://resizing.flixster.com/q-ycRBgRLnh48CdFtEPVxFQ4cWA=/180x270/v1.bTsxMTE3NTQ0MDtqOzE3OTU0OzIwNDg7ODAwOzEyMDA'
19, 'Tyson', 2009, 'https://www.rottentomatoes.com/m/1208128-tyson/', 'https://resizing.flixster.com/FEtM84avVITc-CUiiGXNnwcHMo0=/180x240/v1.bTsxMTIzNTg4NztqOzE3OTY3OzIwNDg7MjkxMDszODgw'
18, 'Girlfight', 2000, 'https://www.rottentomatoes.com/m/girlfight/', 'https://resizing.flixster.com/c2ztX3nTmNzo4jqPZI2cGit9y5E=/180x240/v1.bTsxMTI5MTU2MztqOzE3OTc4OzIwNDg7MTUzNjsyMDQ4'
17, 'Requiem for a Heavyweight', 1962, 'https://www.rottentomatoes.com/m/1080265-requiem_for_a_heavyweight/', 'https://resizing.flixster.com/xHyWj5fv4LPTOglQAaN8-SsQDQE=/180x240/v1.bTsxMTIxNDM2NjtqOzE3OTU1OzIwNDg7MTgwMDsyNDAw'
16, 'Champion', 1949, 'https://www.rottentomatoes.com/m/1003857-champion/', 'https://resizing.flixster.com/VtiD8vSkYsZmuQACV93ZcPxlQUA=/180x240/v1.bTsxMTYyMDM4NTtqOzE3OTg5OzIwNDg7NDk4OzY2NA'
15, 'Rocco and His Brothers (Rocco e i suoi fratelli)', 1961, 'https://www.rottentomatoes.com/m/rocco_and_his_brothers/', 'https://resizing.flixster.com/sT0lrlewoGPThRe18W2UTusRYmo=/180x240/v1.bTsxMTIwNjQ2MDtqOzE3OTY5OzIwNDg7MTUzMDsyMDQw'
14, 'Knuckle', 2011, 'https://www.rottentomatoes.com/m/knuckle_2011/', 'https://resizing.flixster.com/GRL01ggpvG-VYIrEnt_ylAvoOCE=/180x266/v1.bTsxMTE2MDM4MTtqOzE3OTcwOzIwNDg7NTExOzc1NQ'
